Row ID,Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLABB20150316Fifty shades of Grey / E.L. James,EPLABB,Abbottsfield - Penny McKee Branch,5,Fifty shades of Grey / E.L. James,James E L,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=fifty%20shades%20of
EPLABB20150316The back of the turtle : a novel / Thomas King,EPLABB,Abbottsfield - Penny McKee Branch,6,The back of the turtle : a novel / Thomas King,King Thomas,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20back%20of
EPLABB20150316Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],EPLABB,Abbottsfield - Penny McKee Branch,6,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLABB20150316Yes please / Amy Poehler,EPLABB,Abbottsfield - Penny McKee Branch,5,Yes please / Amy Poehler,Poehler Amy,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLABB20150316Crash & burn : a novel / Lisa Gardner,EPLABB,Abbottsfield - Penny McKee Branch,5,Crash & burn : a novel / Lisa Gardner,Gardner Lisa,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=crash%20%26%20burn
EPLABB20150316The Cinderella murder : an under suspicion novel / Mary Higgins Clark and Alafair Burke,EPLABB,Abbottsfield - Penny McKee Branch,4,The Cinderella murder : an under suspicion novel / Mary Higgins Clark and Alafair Burke,Clark Mary Higgins,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20cinderella%20murder
EPLABB20150316Gray Mountain / John Grisham,EPLABB,Abbottsfield - Penny McKee Branch,4,Gray Mountain / John Grisham,Grisham John,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLABB20150316As chimney sweepers come to dust / Alan Bradley,EPLABB,Abbottsfield - Penny McKee Branch,4,As chimney sweepers come to dust / Alan Bradley,Bradley Alan,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=as%20chimney%20sweepers
EPLABB20150316Dead heat / Patricia Briggs,EPLABB,Abbottsfield - Penny McKee Branch,4,Dead heat / Patricia Briggs,Briggs Patricia,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=dead%20heat%20/
EPLABB20150316The girl on the train / Paula Hawkins,EPLABB,Abbottsfield - Penny McKee Branch,10,The girl on the train / Paula Hawkins,Hawkins Paula,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLABB20150309Yes please / Amy Poehler,EPLABB,Abbottsfield - Penny McKee Branch,6,Yes please / Amy Poehler,Poehler Amy,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
