Row ID,Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLCAL20150316The maze runner / James Dashner,EPLCAL,Calder Branch,7,The maze runner / James Dashner,Dashner James,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLCAL20150316Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],EPLCAL,Calder Branch,6,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLCAL20150316Hope to die / James Patterson,EPLCAL,Calder Branch,5,Hope to die / James Patterson,Patterson James,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=hope%20to%20die
EPLCAL20150316Gray Mountain / John Grisham,EPLCAL,Calder Branch,5,Gray Mountain / John Grisham,Grisham John,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLCAL20150316The assassin / Clive Cussler and Justin Scott ; illustrations by Roland Dahlquist,EPLCAL,Calder Branch,5,The assassin / Clive Cussler and Justin Scott ; illustrations by Roland Dahlquist,Cussler Clive,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20assassin%20/
EPLCAL20150316Yes please / Amy Poehler,EPLCAL,Calder Branch,4,Yes please / Amy Poehler,Poehler Amy,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLCAL20150316Private Vegas [large print] / James Patterson and Maxine Paetro,EPLCAL,Calder Branch,4,Private Vegas [large print] / James Patterson and Maxine Paetro,Patterson James,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=private%20vegas%20%5Blarge
EPLCAL20150316The Cinderella murder : an under suspicion novel / Mary Higgins Clark and Alafair Burke,EPLCAL,Calder Branch,4,The Cinderella murder : an under suspicion novel / Mary Higgins Clark and Alafair Burke,Clark Mary Higgins,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20cinderella%20murder
EPLCAL20150316The Rosie project / Graeme Simsion. --,EPLCAL,Calder Branch,4,The Rosie project / Graeme Simsion. --,Simsion Graeme C,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLCAL20150316The girl on the train / Paula Hawkins,EPLCAL,Calder Branch,10,The girl on the train / Paula Hawkins,Hawkins Paula,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLCAL20150427Heir  / by Kiera  Cass,EPLCAL,Calder Branch,5,Heir  / by Kiera  Cass,Cass Kiera,04/27/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=heir%20/%20by
EPLCAL20150309The maze runner / James Dashner,EPLCAL,Calder Branch,8,The maze runner / James Dashner,Dashner James,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLCAL20150309Hope to die / James Patterson,EPLCAL,Calder Branch,6,Hope to die / James Patterson,Patterson James,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=hope%20to%20die
EPLCAL20150309Obsession in death / J. D. Robb,EPLCAL,Calder Branch,5,Obsession in death / J. D. Robb,Robb J D,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=obsession%20in%20death
EPLCAL20150309Diary of a wimpy kid. The long haul / by Jeff Kinney,EPLCAL,Calder Branch,5,Diary of a wimpy kid. The long haul / by Jeff Kinney,Kinney Jeff,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=diary%20of%20a
EPLCAL20150309Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],EPLCAL,Calder Branch,5,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLCAL20150309Double fudge brownie murder / Joanne Fluke,EPLCAL,Calder Branch,5,Double fudge brownie murder / Joanne Fluke,Fluke Joanne,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=double%20fudge%20brownie
EPLCAL20150309Yes please / Amy Poehler,EPLCAL,Calder Branch,4,Yes please / Amy Poehler,Poehler Amy,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLCAL20150309The Cinderella murder : an under suspicion novel / Mary Higgins Clark and Alafair Burke,EPLCAL,Calder Branch,4,The Cinderella murder : an under suspicion novel / Mary Higgins Clark and Alafair Burke,Clark Mary Higgins,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20cinderella%20murder
EPLCAL20150309Gray Mountain / John Grisham,EPLCAL,Calder Branch,4,Gray Mountain / John Grisham,Grisham John,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLCAL20150309The girl on the train / Paula Hawkins,EPLCAL,Calder Branch,10,The girl on the train / Paula Hawkins,Hawkins Paula,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLCAL20150302The girl on the train / Paula Hawkins,EPLCAL,Calder Branch,10,The girl on the train / Paula Hawkins,Hawkins Paula,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLCAL20150302What if? : serious scientific answers to absurd hypothetical questions / Randall Munroe,EPLCAL,Calder Branch,4,What if? : serious scientific answers to absurd hypothetical questions / Randall Munroe,Munroe Randall,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=what%20if%3F%20%3A
