Row ID,Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLCLV20150309Yes please / Amy Poehler,EPLCLV,Clareview Branch,9,Yes please / Amy Poehler,Poehler Amy,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLCLV20150309The Scorch Trials / James Dashner,EPLCLV,Clareview Branch,8,The Scorch Trials / James Dashner,Dashner James,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20scorch%20trials
EPLCLV20150309The book with no pictures / B.J. Novak,EPLCLV,Clareview Branch,7,The book with no pictures / B.J. Novak,Novak B J,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20book%20with
EPLCLV20150309Fifty shades of Grey / E.L. James,EPLCLV,Clareview Branch,7,Fifty shades of Grey / E.L. James,James E L,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=fifty%20shades%20of
EPLCLV20150309Gray Mountain / John Grisham,EPLCLV,Clareview Branch,7,Gray Mountain / John Grisham,Grisham John,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLCLV20150309Sisters / Raina Telgemeier ; with color by Braden Lamb,EPLCLV,Clareview Branch,7,Sisters / Raina Telgemeier ; with color by Braden Lamb,Telgemeier Raina,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=sisters%20/%20raina
EPLCLV20150309Vocabulary boosters / Susan Rogers,EPLCLV,Clareview Branch,7,Vocabulary boosters / Susan Rogers,Rogers Susan,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=vocabulary%20boosters%20/
"EPLCLV20150309American sniper : the autobiography of the most lethal sniper in U.S. military history / Chris Kyle, with Scott McEwen and Jim DeFelice",EPLCLV,Clareview Branch,6,"American sniper : the autobiography of the most lethal sniper in U.S. military history / Chris Kyle, with Scott McEwen and Jim DeFelice",Kyle Chris-002013,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=american%20sniper%20%3A
EPLCLV20150309Diary of a wimpy kid. The long haul / by Jeff Kinney,EPLCLV,Clareview Branch,5,Diary of a wimpy kid. The long haul / by Jeff Kinney,Kinney Jeff,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=diary%20of%20a
EPLCLV20150309The girl on the train / Paula Hawkins,EPLCLV,Clareview Branch,12,The girl on the train / Paula Hawkins,Hawkins Paula,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLCLV20150302The girl on the train / Paula Hawkins,EPLCLV,Clareview Branch,10,The girl on the train / Paula Hawkins,Hawkins Paula,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLCLV20150302Diary of a wimpy kid. The long haul / by Jeff Kinney,EPLCLV,Clareview Branch,6,Diary of a wimpy kid. The long haul / by Jeff Kinney,Kinney Jeff,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=diary%20of%20a
EPLCLV20150302The book with no pictures / B.J. Novak,EPLCLV,Clareview Branch,6,The book with no pictures / B.J. Novak,Novak B J,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20book%20with
"EPLCLV20150302American sniper : the autobiography of the most lethal sniper in U.S. military history / Chris Kyle, with Scott McEwen and Jim DeFelice",EPLCLV,Clareview Branch,6,"American sniper : the autobiography of the most lethal sniper in U.S. military history / Chris Kyle, with Scott McEwen and Jim DeFelice",Kyle Chris-002013,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=american%20sniper%20%3A
EPLCLV20150302Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,EPLCLV,Clareview Branch,7,Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,University of Cambridge Local Examinations Syndicate,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=cambridge%20ielts%20...
EPLCLV20150302Sisters / Raina Telgemeier ; with color by Braden Lamb,EPLCLV,Clareview Branch,7,Sisters / Raina Telgemeier ; with color by Braden Lamb,Telgemeier Raina,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=sisters%20/%20raina
EPLCLV20150302All the light we cannot see : a novel / Anthony Doerr,EPLCLV,Clareview Branch,7,All the light we cannot see : a novel / Anthony Doerr,Doerr Anthony,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20the%20light
EPLCLV20150302Gray Mountain / John Grisham,EPLCLV,Clareview Branch,7,Gray Mountain / John Grisham,Grisham John,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLCLV20150302Yes please / Amy Poehler,EPLCLV,Clareview Branch,8,Yes please / Amy Poehler,Poehler Amy,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLCLV20150302Fifty shades of Grey / E.L. James,EPLCLV,Clareview Branch,9,Fifty shades of Grey / E.L. James,James E L,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=fifty%20shades%20of
EPLCLV20150223Fifty shades of Grey / E.L. James,EPLCLV,Clareview Branch,8,Fifty shades of Grey / E.L. James,James E L,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=fifty%20shades%20of
EPLCLV20150223The Scorch Trials / James Dashner,EPLCLV,Clareview Branch,8,The Scorch Trials / James Dashner,Dashner James,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20scorch%20trials
EPLCLV20150223Anya's ghost / Vera Brosgol,EPLCLV,Clareview Branch,8,Anya's ghost / Vera Brosgol,Brosgol Vera,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=anya%27s%20ghost%20/
EPLCLV20150223Yes please / Amy Poehler,EPLCLV,Clareview Branch,7,Yes please / Amy Poehler,Poehler Amy,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLCLV20150223All the light we cannot see : a novel / Anthony Doerr,EPLCLV,Clareview Branch,7,All the light we cannot see : a novel / Anthony Doerr,Doerr Anthony,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20the%20light
EPLCLV20150223Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,EPLCLV,Clareview Branch,7,Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,University of Cambridge Local Examinations Syndicate,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=cambridge%20ielts%20...
EPLCLV20150223Diary of a wimpy kid. The long haul / by Jeff Kinney,EPLCLV,Clareview Branch,6,Diary of a wimpy kid. The long haul / by Jeff Kinney,Kinney Jeff,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=diary%20of%20a
EPLCLV20150223Gray Mountain / John Grisham,EPLCLV,Clareview Branch,6,Gray Mountain / John Grisham,Grisham John,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLCLV20150223Sisters / Raina Telgemeier ; with color by Braden Lamb,EPLCLV,Clareview Branch,6,Sisters / Raina Telgemeier ; with color by Braden Lamb,Telgemeier Raina,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=sisters%20/%20raina
EPLCLV20150223The girl on the train / Paula Hawkins,EPLCLV,Clareview Branch,10,The girl on the train / Paula Hawkins,Hawkins Paula,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLCLV20150216All the light we cannot see : a novel / Anthony Doerr,EPLCLV,Clareview Branch,8,All the light we cannot see : a novel / Anthony Doerr,Doerr Anthony,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20the%20light
