Row ID,Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLCPL20150316Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,EPLCPL,Capilano Branch,9,Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,University of Cambridge Local Examinations Syndicate,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=cambridge%20ielts%20...
"EPLCPL20150316American sniper : the autobiography of the most lethal sniper in U.S. military history / Chris Kyle, with Scott McEwen and Jim DeFelice",EPLCPL,Capilano Branch,9,"American sniper : the autobiography of the most lethal sniper in U.S. military history / Chris Kyle, with Scott McEwen and Jim DeFelice",Kyle Chris-002013,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=american%20sniper%20%3A
EPLCPL20150316And the birds rained down / written by Jocelyne Saucier ; translated by Rhonda Mullins,EPLCPL,Capilano Branch,9,And the birds rained down / written by Jocelyne Saucier ; translated by Rhonda Mullins,Saucier Jocelyne,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=and%20the%20birds
EPLCPL20150316This changes everything : capitalism vs. the climate / Naomi Klein,EPLCPL,Capilano Branch,8,This changes everything : capitalism vs. the climate / Naomi Klein,Klein Naomi,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=this%20changes%20everything
EPLCPL20150316A spool of blue thread / Anne Tyler,EPLCPL,Capilano Branch,8,A spool of blue thread / Anne Tyler,Tyler Anne,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=a%20spool%20of
EPLCPL20150309The Rosie project / Graeme Simsion. --,EPLCPL,Capilano Branch,8,The Rosie project / Graeme Simsion. --,Simsion Graeme C,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLCPL20150309The girl on the train / Paula Hawkins,EPLCPL,Capilano Branch,27,The girl on the train / Paula Hawkins,Hawkins Paula,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLCPL20150309All the light we cannot see : a novel / Anthony Doerr,EPLCPL,Capilano Branch,13,All the light we cannot see : a novel / Anthony Doerr,Doerr Anthony,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20the%20light
EPLCPL20150309Still Alice : a novel / Lisa Genova,EPLCPL,Capilano Branch,12,Still Alice : a novel / Lisa Genova,Genova Lisa,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=still%20alice%20%3A
EPLCPL20150309Alan Turing : the enigma / Andrew Hodges ; with a foreword by Douglas Hofstadter and a new preface by the author,EPLCPL,Capilano Branch,11,Alan Turing : the enigma / Andrew Hodges ; with a foreword by Douglas Hofstadter and a new preface by the author,Hodges Andrew,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=alan%20turing%20%3A
EPLCPL20150309All my puny sorrows / Miriam Toews. --,EPLCPL,Capilano Branch,11,All my puny sorrows / Miriam Toews. --,Toews Miriam,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20my%20puny
EPLCPL20150309The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,EPLCPL,Capilano Branch,10,The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,Kond o Marie,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20life-changing%20magic
EPLCPL20150309And the birds rained down / written by Jocelyne Saucier ; translated by Rhonda Mullins,EPLCPL,Capilano Branch,10,And the birds rained down / written by Jocelyne Saucier ; translated by Rhonda Mullins,Saucier Jocelyne,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=and%20the%20birds
EPLCPL20150309This changes everything : capitalism vs. the climate / Naomi Klein,EPLCPL,Capilano Branch,9,This changes everything : capitalism vs. the climate / Naomi Klein,Klein Naomi,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=this%20changes%20everything
EPLCPL20150309Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,EPLCPL,Capilano Branch,9,Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,University of Cambridge Local Examinations Syndicate,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=cambridge%20ielts%20...
EPLCPL20150302All the light we cannot see : a novel / Anthony Doerr,EPLCPL,Capilano Branch,12,All the light we cannot see : a novel / Anthony Doerr,Doerr Anthony,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20the%20light
EPLCPL20150302And the birds rained down / written by Jocelyne Saucier ; translated by Rhonda Mullins,EPLCPL,Capilano Branch,10,And the birds rained down / written by Jocelyne Saucier ; translated by Rhonda Mullins,Saucier Jocelyne,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=and%20the%20birds
EPLCPL20150302Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,EPLCPL,Capilano Branch,10,Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,University of Cambridge Local Examinations Syndicate,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=cambridge%20ielts%20...
EPLCPL20150302Alan Turing : the enigma / Andrew Hodges ; with a foreword by Douglas Hofstadter and a new preface by the author,EPLCPL,Capilano Branch,11,Alan Turing : the enigma / Andrew Hodges ; with a foreword by Douglas Hofstadter and a new preface by the author,Hodges Andrew,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=alan%20turing%20%3A
EPLCPL20150302Still Alice : a novel / Lisa Genova,EPLCPL,Capilano Branch,12,Still Alice : a novel / Lisa Genova,Genova Lisa,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=still%20alice%20%3A
EPLCPL20150302All my puny sorrows / Miriam Toews. --,EPLCPL,Capilano Branch,12,All my puny sorrows / Miriam Toews. --,Toews Miriam,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20my%20puny
EPLCPL20150302The girl on the train / Paula Hawkins,EPLCPL,Capilano Branch,26,The girl on the train / Paula Hawkins,Hawkins Paula,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLCPL20150302The Rosie effect / Graeme Simsion,EPLCPL,Capilano Branch,8,The Rosie effect / Graeme Simsion,Simsion Graeme C,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20effect
