Row ID,Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLCSD20150316The girl on the train / Paula Hawkins,EPLCSD,Castle Downs Branch,48,The girl on the train / Paula Hawkins,Hawkins Paula,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLCSD20150316Who can jump? / Sebastien Braun. --,EPLCSD,Castle Downs Branch,23,Who can jump? / Sebastien Braun. --,Braun Sebastien,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=who%20can%20jump%3F
EPLCSD20150316The maze runner / James Dashner,EPLCSD,Castle Downs Branch,22,The maze runner / James Dashner,Dashner James,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLCSD20150316Silly Sally / by Audrey Wood,EPLCSD,Castle Downs Branch,19,Silly Sally / by Audrey Wood,Wood Audrey,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=silly%20sally%20/
EPLCSD20150316Baby animal farm / Karen Blair. --,EPLCSD,Castle Downs Branch,17,Baby animal farm / Karen Blair. --,Blair Karen,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=baby%20animal%20farm
EPLCSD20150316Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],EPLCSD,Castle Downs Branch,17,Minecraft annual / [edited by Jane Riordan ; written by Jane Riordan with 3 others],Riordan Jane,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=minecraft%20annual%20/
EPLCSD20150316The husband's secret / Liane Moriarty,EPLCSD,Castle Downs Branch,14,The husband's secret / Liane Moriarty,Moriarty Liane,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20husband%27s%20secret
EPLCSD20150316Big little lies / Liane Moriarty,EPLCSD,Castle Downs Branch,14,Big little lies / Liane Moriarty,Moriarty Liane,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=big%20little%20lies
EPLCSD20150316The Rosie project / Graeme Simsion. --,EPLCSD,Castle Downs Branch,14,The Rosie project / Graeme Simsion. --,Simsion Graeme C,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLCSD20150316Obsession in death / J. D. Robb,EPLCSD,Castle Downs Branch,13,Obsession in death / J. D. Robb,Robb J D,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=obsession%20in%20death
