Row ID,Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLGMU20150309The girl on the train / Paula Hawkins,EPLGMU,MacEwan University,2,The girl on the train / Paula Hawkins,Hawkins Paula,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLGMU20150309Neil Patrick Harris : choose your own autobiography / Neil Patrick Harris ; as unshredded and pasted back together by David Javerbaum,EPLGMU,MacEwan University,2,Neil Patrick Harris : choose your own autobiography / Neil Patrick Harris ; as unshredded and pasted back together by David Javerbaum,Harris Neil Patrick,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=neil%20patrick%20harris
EPLGMU20150309Funny girl / Nick Hornby,EPLGMU,MacEwan University,2,Funny girl / Nick Hornby,Hornby Nick,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=funny%20girl%20/
EPLGMU20150309Etta and Otto and Russell and James / Emma Hooper,EPLGMU,MacEwan University,2,Etta and Otto and Russell and James / Emma Hooper,Hooper Emma,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=etta%20and%20otto
EPLGMU20150309Breakaway / Jeff Hirsch,EPLGMU,MacEwan University,1,Breakaway / Jeff Hirsch,Hirsch Jeff,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=breakaway%20/%20jeff
EPLGMU20150309The Rosie project / Graeme Simsion. --,EPLGMU,MacEwan University,1,The Rosie project / Graeme Simsion. --,Simsion Graeme C,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
"EPLGMU20150309The fastdiet : lose weight, stay healthy, and live longer with the simple secret of intermittent fasting / Michael Mosley, Mimi Spencer. --",EPLGMU,MacEwan University,1,"The fastdiet : lose weight, stay healthy, and live longer with the simple secret of intermittent fasting / Michael Mosley, Mimi Spencer. --",Mosley Michael,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20fastdiet%20%3A
EPLGMU20150309Burial rites : a novel / Hannah Kent. --,EPLGMU,MacEwan University,1,Burial rites : a novel / Hannah Kent. --,Kent Hannah,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=burial%20rites%20%3A
EPLGMU20150309Compelling people : the hidden qualities that make us influential / John Neffinger and Matthew Kohut. --,EPLGMU,MacEwan University,1,Compelling people : the hidden qualities that make us influential / John Neffinger and Matthew Kohut. --,Neffinger John,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=compelling%20people%20%3A
"EPLGMU20150309Momo, or, The curious story about the time thieves and the child who returned the people's stolen time / Michael Ende ; translated by Lucas Zwirner ; drawings by Marcel Dzama. --",EPLGMU,MacEwan University,1,"Momo, or, The curious story about the time thieves and the child who returned the people's stolen time / Michael Ende ; translated by Lucas Zwirner ; drawings by Marcel Dzama. --",Ende Michael,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=momo%2C%20or%2C%20the
