Row ID,Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLHIG20150309The girl on the train / Paula Hawkins,EPLHIG,Highlands Branch,7,The girl on the train / Paula Hawkins,Hawkins Paula,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLHIG20150309The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,EPLHIG,Highlands Branch,6,The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,Kond o Marie,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20life-changing%20magic
EPLHIG20150309Leaving time : a novel / Jodi Picoult,EPLHIG,Highlands Branch,5,Leaving time : a novel / Jodi Picoult,Picoult Jodi,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=leaving%20time%20%3A
EPLHIG20150309The husband's secret / Liane Moriarty,EPLHIG,Highlands Branch,5,The husband's secret / Liane Moriarty,Moriarty Liane,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20husband%27s%20secret
EPLHIG20150309Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,EPLHIG,Highlands Branch,5,Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,University of Cambridge Local Examinations Syndicate,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=cambridge%20ielts%20...
EPLHIG20150309Station eleven / Emily St. John Mandel,EPLHIG,Highlands Branch,5,Station eleven / Emily St. John Mandel,Mandel Emily St John,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=station%20eleven%20/
EPLHIG20150309Yes please / Amy Poehler,EPLHIG,Highlands Branch,4,Yes please / Amy Poehler,Poehler Amy,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLHIG20150309Sweetland : a novel / Michael Crummey,EPLHIG,Highlands Branch,4,Sweetland : a novel / Michael Crummey,Crummey Michael,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=sweetland%20%3A%20a
EPLHIG20150309Pokaemon : essential handbook : the need-to-know stats and facts on over 640 Pokaemon,EPLHIG,Highlands Branch,4,Pokaemon : essential handbook : the need-to-know stats and facts on over 640 Pokaemon,,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=pokaemon%20%3A%20essential
EPLHIG20150309The Rosie project / Graeme Simsion. --,EPLHIG,Highlands Branch,4,The Rosie project / Graeme Simsion. --,Simsion Graeme C,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
