Row ID,Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLJPL20150309The girl on the train / Paula Hawkins,EPLJPL,Jasper Place Branch,56,The girl on the train / Paula Hawkins,Hawkins Paula,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLJPL20150309Gray Mountain / John Grisham,EPLJPL,Jasper Place Branch,25,Gray Mountain / John Grisham,Grisham John,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLJPL20150309The Rosie effect / Graeme Simsion,EPLJPL,Jasper Place Branch,18,The Rosie effect / Graeme Simsion,Simsion Graeme C,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20effect
EPLJPL20150309All my puny sorrows / Miriam Toews. --,EPLJPL,Jasper Place Branch,17,All my puny sorrows / Miriam Toews. --,Toews Miriam,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20my%20puny
EPLJPL20150309All the light we cannot see : a novel / Anthony Doerr,EPLJPL,Jasper Place Branch,16,All the light we cannot see : a novel / Anthony Doerr,Doerr Anthony,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20the%20light
EPLJPL20150309Promise  / by Robert  Crais,EPLJPL,Jasper Place Branch,14,Promise  / by Robert  Crais,Crais Robert,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=promise%20/%20by
EPLJPL20150309As chimney sweepers come to dust / Alan Bradley,EPLJPL,Jasper Place Branch,14,As chimney sweepers come to dust / Alan Bradley,Bradley Alan,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=as%20chimney%20sweepers
EPLJPL20150309Yes please / Amy Poehler,EPLJPL,Jasper Place Branch,13,Yes please / Amy Poehler,Poehler Amy,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLJPL20150309Being mortal : medicine and what matters in the end / Atul Gawande,EPLJPL,Jasper Place Branch,13,Being mortal : medicine and what matters in the end / Atul Gawande,Gawande Atul,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=being%20mortal%20%3A
EPLJPL20150309A spool of blue thread / Anne Tyler,EPLJPL,Jasper Place Branch,13,A spool of blue thread / Anne Tyler,Tyler Anne,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=a%20spool%20of
EPLJPL20150302As chimney sweepers come to dust / Alan Bradley,EPLJPL,Jasper Place Branch,14,As chimney sweepers come to dust / Alan Bradley,Bradley Alan,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=as%20chimney%20sweepers
EPLJPL20150302Being mortal : medicine and what matters in the end / Atul Gawande,EPLJPL,Jasper Place Branch,14,Being mortal : medicine and what matters in the end / Atul Gawande,Gawande Atul,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=being%20mortal%20%3A
EPLJPL20150302Promise  / by Robert  Crais,EPLJPL,Jasper Place Branch,14,Promise  / by Robert  Crais,Crais Robert,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=promise%20/%20by
EPLJPL20150302Yes please / Amy Poehler,EPLJPL,Jasper Place Branch,14,Yes please / Amy Poehler,Poehler Amy,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLJPL20150302All my puny sorrows / Miriam Toews. --,EPLJPL,Jasper Place Branch,15,All my puny sorrows / Miriam Toews. --,Toews Miriam,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20my%20puny
EPLJPL20150302The Rosie project / Graeme Simsion. --,EPLJPL,Jasper Place Branch,15,The Rosie project / Graeme Simsion. --,Simsion Graeme C,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLJPL20150302All the light we cannot see : a novel / Anthony Doerr,EPLJPL,Jasper Place Branch,16,All the light we cannot see : a novel / Anthony Doerr,Doerr Anthony,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20the%20light
EPLJPL20150302The Rosie effect / Graeme Simsion,EPLJPL,Jasper Place Branch,19,The Rosie effect / Graeme Simsion,Simsion Graeme C,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20effect
EPLJPL20150302Gray Mountain / John Grisham,EPLJPL,Jasper Place Branch,26,Gray Mountain / John Grisham,Grisham John,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLJPL20150302The girl on the train / Paula Hawkins,EPLJPL,Jasper Place Branch,52,The girl on the train / Paula Hawkins,Hawkins Paula,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLJPL20150223The girl on the train / Paula Hawkins,EPLJPL,Jasper Place Branch,52,The girl on the train / Paula Hawkins,Hawkins Paula,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLJPL20150223Gray Mountain / John Grisham,EPLJPL,Jasper Place Branch,31,Gray Mountain / John Grisham,Grisham John,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLJPL20150223The Rosie effect / Graeme Simsion,EPLJPL,Jasper Place Branch,21,The Rosie effect / Graeme Simsion,Simsion Graeme C,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20effect
EPLJPL20150223All the light we cannot see : a novel / Anthony Doerr,EPLJPL,Jasper Place Branch,18,All the light we cannot see : a novel / Anthony Doerr,Doerr Anthony,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20the%20light
EPLJPL20150223The Rosie project / Graeme Simsion. --,EPLJPL,Jasper Place Branch,16,The Rosie project / Graeme Simsion. --,Simsion Graeme C,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
