Row ID,Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLLON20150316The girl on the train / Paula Hawkins,EPLLON,Londonderry Branch,36,The girl on the train / Paula Hawkins,Hawkins Paula,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLLON20150316The maze runner / James Dashner,EPLLON,Londonderry Branch,18,The maze runner / James Dashner,Dashner James,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLLON20150316Crash & burn : a novel / Lisa Gardner,EPLLON,Londonderry Branch,17,Crash & burn : a novel / Lisa Gardner,Gardner Lisa,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=crash%20%26%20burn
EPLLON20150316Gray Mountain / John Grisham,EPLLON,Londonderry Branch,14,Gray Mountain / John Grisham,Grisham John,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLLON20150316Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,EPLLON,Londonderry Branch,14,Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,University of Cambridge Local Examinations Syndicate,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=cambridge%20ielts%20...
EPLLON20150316Yes please / Amy Poehler,EPLLON,Londonderry Branch,12,Yes please / Amy Poehler,Poehler Amy,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLLON20150316Obsession in death / J. D. Robb,EPLLON,Londonderry Branch,11,Obsession in death / J. D. Robb,Robb J D,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=obsession%20in%20death
EPLLON20150316Cold cold heart / Tami Hoag. --,EPLLON,Londonderry Branch,10,Cold cold heart / Tami Hoag. --,Hoag Tami,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=cold%20cold%20heart
EPLLON20150316Paper towns / by John Green,EPLLON,Londonderry Branch,10,Paper towns / by John Green,Green John,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=paper%20towns%20/
EPLLON20150316Where she went / by Gayle Forman,EPLLON,Londonderry Branch,10,Where she went / by Gayle Forman,Forman Gayle,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=where%20she%20went
EPLLON20150309The girl on the train / Paula Hawkins,EPLLON,Londonderry Branch,33,The girl on the train / Paula Hawkins,Hawkins Paula,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLLON20150309The maze runner / James Dashner,EPLLON,Londonderry Branch,18,The maze runner / James Dashner,Dashner James,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLLON20150309Yes please / Amy Poehler,EPLLON,Londonderry Branch,15,Yes please / Amy Poehler,Poehler Amy,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLLON20150309Obsession in death / J. D. Robb,EPLLON,Londonderry Branch,14,Obsession in death / J. D. Robb,Robb J D,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=obsession%20in%20death
EPLLON20150309Gray Mountain / John Grisham,EPLLON,Londonderry Branch,14,Gray Mountain / John Grisham,Grisham John,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLLON20150309Crash & burn : a novel / Lisa Gardner,EPLLON,Londonderry Branch,13,Crash & burn : a novel / Lisa Gardner,Gardner Lisa,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=crash%20%26%20burn
EPLLON20150309Paper towns / by John Green,EPLLON,Londonderry Branch,12,Paper towns / by John Green,Green John,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=paper%20towns%20/
EPLLON20150309Where she went / by Gayle Forman,EPLLON,Londonderry Branch,11,Where she went / by Gayle Forman,Forman Gayle,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=where%20she%20went
"EPLLON20150309American sniper : the autobiography of the most lethal sniper in U.S. military history / Chris Kyle, with Scott McEwen and Jim DeFelice",EPLLON,Londonderry Branch,10,"American sniper : the autobiography of the most lethal sniper in U.S. military history / Chris Kyle, with Scott McEwen and Jim DeFelice",Kyle Chris-002013,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=american%20sniper%20%3A
EPLLON20150309Cold cold heart / Tami Hoag. --,EPLLON,Londonderry Branch,10,Cold cold heart / Tami Hoag. --,Hoag Tami,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=cold%20cold%20heart
EPLLON20150302Cold cold heart / Tami Hoag. --,EPLLON,Londonderry Branch,11,Cold cold heart / Tami Hoag. --,Hoag Tami,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=cold%20cold%20heart
EPLLON20150302Hope to die / James Patterson,EPLLON,Londonderry Branch,11,Hope to die / James Patterson,Patterson James,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=hope%20to%20die
EPLLON20150302Sisters / Raina Telgemeier ; with color by Braden Lamb,EPLLON,Londonderry Branch,12,Sisters / Raina Telgemeier ; with color by Braden Lamb,Telgemeier Raina,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=sisters%20/%20raina
EPLLON20150302Paper towns / by John Green,EPLLON,Londonderry Branch,13,Paper towns / by John Green,Green John,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=paper%20towns%20/
