Row ID,Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLMCN20160314Brooklyn : a novel / Colm Toibin,EPLMCN,,4,Brooklyn : a novel / Colm Toibin,TOIBIN COLM,03/14/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=brooklyn%20%3A%20a
EPLMCN20160215Apple / Nikki McClure,EPLMCN,,1,Apple / Nikki McClure,MCCLURE NIKKI,02/15/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=apple%20/%20nikki
"EPLMCN20160215Simple crocheting : a complete how-to-crochet workshop with 20 projects / Erika Knight ; [photographer, Yuki Sugiura]. --",EPLMCN,,1,"Simple crocheting : a complete how-to-crochet workshop with 20 projects / Erika Knight ; [photographer, Yuki Sugiura]. --",KNIGHT ERIKA,02/15/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=simple%20crocheting%20%3A
EPLMCN20160215An apple's life / Nancy Dickmann,EPLMCN,,1,An apple's life / Nancy Dickmann,DICKMANN NANCY,02/15/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=an%20apple%27s%20life
EPLMCN20160215The giant encyclopedia of preschool activities for three-year-olds / edited by Kathy Charner and Maureen Murphy,EPLMCN,,1,The giant encyclopedia of preschool activities for three-year-olds / edited by Kathy Charner and Maureen Murphy,CHARNER KATHY,02/15/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20giant%20encyclopedia
EPLMCN20160215Pirates / Philip Steele,EPLMCN,,1,Pirates / Philip Steele,STEELE PHILIP,02/15/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=pirates%20/%20philip
EPLMCN20160215Preschool day hooray! / by Linda Leopold Strauss ; illustrated by Hiroe Nakata. --,EPLMCN,,1,Preschool day hooray! / by Linda Leopold Strauss ; illustrated by Hiroe Nakata. --,STRAUSS LINDA LEOPOLD,02/15/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=preschool%20day%20hooray%21
EPLMCN20160215Curious George. Apple harvest / adaptation by Lynne Polvino,EPLMCN,,1,Curious George. Apple harvest / adaptation by Lynne Polvino,POLVINO LYNNE,02/15/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=curious%20george.%20apple
"EPLMCN20160215Thomas' snowsuit / story, Robert Munsch ; art, Michael Martchenko",EPLMCN,,1,"Thomas' snowsuit / story, Robert Munsch ; art, Michael Martchenko",MUNSCH ROBERT N,02/15/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=thomas%27%20snowsuit%20/
EPLMCN20160215Counting on fall / written by Lizann Flatt ; illustrated by Ashley Barron,EPLMCN,,1,Counting on fall / written by Lizann Flatt ; illustrated by Ashley Barron,FLATT LIZANN,02/15/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=counting%20on%20fall
EPLMCN20160215Styxx / Sherrilyn Kenyon. --,EPLMCN,,1,Styxx / Sherrilyn Kenyon. --,KENYON SHERRILYN,02/15/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=styxx%20/%20sherrilyn
EPLMCN20160222What was mine : a novel / Helen Klein Ross,EPLMCN,,2,What was mine : a novel / Helen Klein Ross,ROSS HELEN KLEIN,02/22/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=what%20was%20mine
EPLMCN20160222Blue : a novel / Danielle Steel,EPLMCN,,4,Blue : a novel / Danielle Steel,STEEL DANIELLE,02/22/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=blue%20%3A%20a
EPLMCN20160222Spark joy : an illustrated master class on the art of organizing and tidying up / Marie Kondo ; translated from the Japanese by Cathy Hirano,EPLMCN,,2,Spark joy : an illustrated master class on the art of organizing and tidying up / Marie Kondo ; translated from the Japanese by Cathy Hirano,KOND MARIE,02/22/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=spark%20joy%20%3A
EPLMCN20160222Knitting for the absolute beginner / Alison Dupernex. --,EPLMCN,,1,Knitting for the absolute beginner / Alison Dupernex. --,DUPERNEX ALISON,02/22/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=knitting%20for%20the
EPLMCN20160222Advertising : concept and copy / George Felton. --,EPLMCN,,1,Advertising : concept and copy / George Felton. --,FELTON GEORGE,02/22/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=advertising%20%3A%20concept
EPLMCN20160222Vanished [large print] / Irene Hannon,EPLMCN,,1,Vanished [large print] / Irene Hannon,HANNON IRENE,02/22/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=vanished%20%5Blarge%20print%5D
EPLMCN20160222Mystery of the midnight rider / Carolyn Keene. --,EPLMCN,,1,Mystery of the midnight rider / Carolyn Keene. --,KEENE CAROLYN,02/22/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=mystery%20of%20the
