Row ID,Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLMEA20150316The Scorch Trials / James Dashner,EPLMEA,Meadows Branch,9,The Scorch Trials / James Dashner,Dashner James,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20scorch%20trials
"EPLMEA20150316American sniper : the autobiography of the most lethal sniper in U.S. military history / Chris Kyle, with Scott McEwen and Jim DeFelice",EPLMEA,Meadows Branch,8,"American sniper : the autobiography of the most lethal sniper in U.S. military history / Chris Kyle, with Scott McEwen and Jim DeFelice",Kyle Chris-002013,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=american%20sniper%20%3A
EPLMEA20150316Big little lies / Liane Moriarty,EPLMEA,Meadows Branch,8,Big little lies / Liane Moriarty,Moriarty Liane,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=big%20little%20lies
EPLMEA20150316Still Alice : a novel / Lisa Genova,EPLMEA,Meadows Branch,8,Still Alice : a novel / Lisa Genova,Genova Lisa,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=still%20alice%20%3A
EPLMEA20150316Fifty shades of Grey / E.L. James,EPLMEA,Meadows Branch,7,Fifty shades of Grey / E.L. James,James E L,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=fifty%20shades%20of
EPLMEA20150316Gray Mountain / John Grisham,EPLMEA,Meadows Branch,7,Gray Mountain / John Grisham,Grisham John,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLMEA20150316Captivated by you / Sylvia Day,EPLMEA,Meadows Branch,7,Captivated by you / Sylvia Day,Day Sylvia,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=captivated%20by%20you
EPLMEA20150316Yes please / Amy Poehler,EPLMEA,Meadows Branch,6,Yes please / Amy Poehler,Poehler Amy,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLMEA20150316Sisters / Raina Telgemeier ; with color by Braden Lamb,EPLMEA,Meadows Branch,12,Sisters / Raina Telgemeier ; with color by Braden Lamb,Telgemeier Raina,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=sisters%20/%20raina
EPLMEA20150316The girl on the train / Paula Hawkins,EPLMEA,Meadows Branch,10,The girl on the train / Paula Hawkins,Hawkins Paula,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLMEA20150309The Scorch Trials / James Dashner,EPLMEA,Meadows Branch,9,The Scorch Trials / James Dashner,Dashner James,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20scorch%20trials
EPLMEA20150309The girl on the train / Paula Hawkins,EPLMEA,Meadows Branch,9,The girl on the train / Paula Hawkins,Hawkins Paula,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
"EPLMEA20150309American sniper : the autobiography of the most lethal sniper in U.S. military history / Chris Kyle, with Scott McEwen and Jim DeFelice",EPLMEA,Meadows Branch,8,"American sniper : the autobiography of the most lethal sniper in U.S. military history / Chris Kyle, with Scott McEwen and Jim DeFelice",Kyle Chris-002013,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=american%20sniper%20%3A
EPLMEA20150309The book with no pictures / B.J. Novak,EPLMEA,Meadows Branch,8,The book with no pictures / B.J. Novak,Novak B J,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20book%20with
EPLMEA20150309Fifty shades of Grey / E.L. James,EPLMEA,Meadows Branch,8,Fifty shades of Grey / E.L. James,James E L,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=fifty%20shades%20of
EPLMEA20150309Still Alice : a novel / Lisa Genova,EPLMEA,Meadows Branch,8,Still Alice : a novel / Lisa Genova,Genova Lisa,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=still%20alice%20%3A
EPLMEA20150309Big little lies / Liane Moriarty,EPLMEA,Meadows Branch,7,Big little lies / Liane Moriarty,Moriarty Liane,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=big%20little%20lies
EPLMEA20150309Captivated by you / Sylvia Day,EPLMEA,Meadows Branch,7,Captivated by you / Sylvia Day,Day Sylvia,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=captivated%20by%20you
