Row ID,Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLMLW20150316Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,EPLMLW,Mill Woods Branch,75,Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,University of Cambridge Local Examinations Syndicate,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=cambridge%20ielts%20...
EPLMLW20150316The girl on the train / Paula Hawkins,EPLMLW,Mill Woods Branch,50,The girl on the train / Paula Hawkins,Hawkins Paula,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLMLW20150316The maze runner / James Dashner,EPLMLW,Mill Woods Branch,29,The maze runner / James Dashner,Dashner James,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLMLW20150316Gray Mountain / John Grisham,EPLMLW,Mill Woods Branch,21,Gray Mountain / John Grisham,Grisham John,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLMLW20150316Sisters / Raina Telgemeier ; with color by Braden Lamb,EPLMLW,Mill Woods Branch,21,Sisters / Raina Telgemeier ; with color by Braden Lamb,Telgemeier Raina,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=sisters%20/%20raina
EPLMLW20150316Yes please / Amy Poehler,EPLMLW,Mill Woods Branch,20,Yes please / Amy Poehler,Poehler Amy,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLMLW20150316The Rosie project / Graeme Simsion. --,EPLMLW,Mill Woods Branch,20,The Rosie project / Graeme Simsion. --,Simsion Graeme C,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLMLW20150316Is Gwyneth Paltrow wrong about everything? : when celebrity culture and science clash / Timothy Caulfield,EPLMLW,Mill Woods Branch,20,Is Gwyneth Paltrow wrong about everything? : when celebrity culture and science clash / Timothy Caulfield,Caulfield Timothy A,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=is%20gwyneth%20paltrow
EPLMLW20150316The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,EPLMLW,Mill Woods Branch,18,The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,Kond o Marie,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20life-changing%20magic
EPLMLW20150316Obsession in death / J. D. Robb,EPLMLW,Mill Woods Branch,17,Obsession in death / J. D. Robb,Robb J D,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=obsession%20in%20death
EPLMLW20150309Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,EPLMLW,Mill Woods Branch,69,Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,University of Cambridge Local Examinations Syndicate,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=cambridge%20ielts%20...
EPLMLW20150309The girl on the train / Paula Hawkins,EPLMLW,Mill Woods Branch,49,The girl on the train / Paula Hawkins,Hawkins Paula,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLMLW20150309The maze runner / James Dashner,EPLMLW,Mill Woods Branch,33,The maze runner / James Dashner,Dashner James,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLMLW20150309Gray Mountain / John Grisham,EPLMLW,Mill Woods Branch,23,Gray Mountain / John Grisham,Grisham John,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLMLW20150309Sisters / Raina Telgemeier ; with color by Braden Lamb,EPLMLW,Mill Woods Branch,23,Sisters / Raina Telgemeier ; with color by Braden Lamb,Telgemeier Raina,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=sisters%20/%20raina
EPLMLW20150309The Rosie project / Graeme Simsion. --,EPLMLW,Mill Woods Branch,21,The Rosie project / Graeme Simsion. --,Simsion Graeme C,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLMLW20150309Is Gwyneth Paltrow wrong about everything? : when celebrity culture and science clash / Timothy Caulfield,EPLMLW,Mill Woods Branch,20,Is Gwyneth Paltrow wrong about everything? : when celebrity culture and science clash / Timothy Caulfield,Caulfield Timothy A,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=is%20gwyneth%20paltrow
EPLMLW20150309Yes please / Amy Poehler,EPLMLW,Mill Woods Branch,19,Yes please / Amy Poehler,Poehler Amy,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLMLW20150309The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,EPLMLW,Mill Woods Branch,17,The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,Kond o Marie,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20life-changing%20magic
EPLMLW20150309Obsession in death / J. D. Robb,EPLMLW,Mill Woods Branch,16,Obsession in death / J. D. Robb,Robb J D,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=obsession%20in%20death
EPLMLW20150302The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,EPLMLW,Mill Woods Branch,16,The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,Kond o Marie,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20life-changing%20magic
EPLMLW20150302Diary of a wimpy kid. The long haul / by Jeff Kinney,EPLMLW,Mill Woods Branch,18,Diary of a wimpy kid. The long haul / by Jeff Kinney,Kinney Jeff,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=diary%20of%20a
EPLMLW20150302Is Gwyneth Paltrow wrong about everything? : when celebrity culture and science clash / Timothy Caulfield,EPLMLW,Mill Woods Branch,20,Is Gwyneth Paltrow wrong about everything? : when celebrity culture and science clash / Timothy Caulfield,Caulfield Timothy A,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=is%20gwyneth%20paltrow
EPLMLW20150302Yes please / Amy Poehler,EPLMLW,Mill Woods Branch,20,Yes please / Amy Poehler,Poehler Amy,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLMLW20150302The Rosie project / Graeme Simsion. --,EPLMLW,Mill Woods Branch,21,The Rosie project / Graeme Simsion. --,Simsion Graeme C,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLMLW20150302Gray Mountain / John Grisham,EPLMLW,Mill Woods Branch,24,Gray Mountain / John Grisham,Grisham John,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLMLW20150302Sisters / Raina Telgemeier ; with color by Braden Lamb,EPLMLW,Mill Woods Branch,28,Sisters / Raina Telgemeier ; with color by Braden Lamb,Telgemeier Raina,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=sisters%20/%20raina
EPLMLW20150302The maze runner / James Dashner,EPLMLW,Mill Woods Branch,33,The maze runner / James Dashner,Dashner James,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLMLW20150302The girl on the train / Paula Hawkins,EPLMLW,Mill Woods Branch,48,The girl on the train / Paula Hawkins,Hawkins Paula,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLMLW20150302Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,EPLMLW,Mill Woods Branch,69,Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,University of Cambridge Local Examinations Syndicate,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=cambridge%20ielts%20...
EPLMLW20150223Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,EPLMLW,Mill Woods Branch,73,Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,University of Cambridge Local Examinations Syndicate,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=cambridge%20ielts%20...
EPLMLW20150223The girl on the train / Paula Hawkins,EPLMLW,Mill Woods Branch,45,The girl on the train / Paula Hawkins,Hawkins Paula,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLMLW20150223The maze runner / James Dashner,EPLMLW,Mill Woods Branch,32,The maze runner / James Dashner,Dashner James,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLMLW20150223Sisters / Raina Telgemeier ; with color by Braden Lamb,EPLMLW,Mill Woods Branch,32,Sisters / Raina Telgemeier ; with color by Braden Lamb,Telgemeier Raina,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=sisters%20/%20raina
EPLMLW20150223Diary of a wimpy kid. The long haul / by Jeff Kinney,EPLMLW,Mill Woods Branch,26,Diary of a wimpy kid. The long haul / by Jeff Kinney,Kinney Jeff,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=diary%20of%20a
EPLMLW20150223Gray Mountain / John Grisham,EPLMLW,Mill Woods Branch,21,Gray Mountain / John Grisham,Grisham John,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLMLW20150223The Rosie project / Graeme Simsion. --,EPLMLW,Mill Woods Branch,21,The Rosie project / Graeme Simsion. --,Simsion Graeme C,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLMLW20150223Is Gwyneth Paltrow wrong about everything? : when celebrity culture and science clash / Timothy Caulfield,EPLMLW,Mill Woods Branch,21,Is Gwyneth Paltrow wrong about everything? : when celebrity culture and science clash / Timothy Caulfield,Caulfield Timothy A,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=is%20gwyneth%20paltrow
EPLMLW20150223Yes please / Amy Poehler,EPLMLW,Mill Woods Branch,20,Yes please / Amy Poehler,Poehler Amy,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLMLW20150223The blood of Olympus / Rick Riordan,EPLMLW,Mill Woods Branch,18,The blood of Olympus / Rick Riordan,Riordan Rick,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20blood%20of
EPLMLW20150216Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,EPLMLW,Mill Woods Branch,71,Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,University of Cambridge Local Examinations Syndicate,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=cambridge%20ielts%20...
EPLMLW20150216The girl on the train / Paula Hawkins,EPLMLW,Mill Woods Branch,42,The girl on the train / Paula Hawkins,Hawkins Paula,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLMLW20150216The maze runner / James Dashner,EPLMLW,Mill Woods Branch,32,The maze runner / James Dashner,Dashner James,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
