Row ID,Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLMNA20150316The girl on the train / Paula Hawkins,EPLMNA,Stanley A. Milner Library (Downtown),73,The girl on the train / Paula Hawkins,Hawkins Paula,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLMNA20150316Yes please / Amy Poehler,EPLMNA,Stanley A. Milner Library (Downtown),35,Yes please / Amy Poehler,Poehler Amy,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLMNA20150316All my puny sorrows / Miriam Toews. --,EPLMNA,Stanley A. Milner Library (Downtown),28,All my puny sorrows / Miriam Toews. --,Toews Miriam,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20my%20puny
EPLMNA20150316Is Gwyneth Paltrow wrong about everything? : when celebrity culture and science clash / Timothy Caulfield,EPLMNA,Stanley A. Milner Library (Downtown),27,Is Gwyneth Paltrow wrong about everything? : when celebrity culture and science clash / Timothy Caulfield,Caulfield Timothy A,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=is%20gwyneth%20paltrow
EPLMNA20150316The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,EPLMNA,Stanley A. Milner Library (Downtown),22,The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,Kond o Marie,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20life-changing%20magic
EPLMNA20150316The maze runner / James Dashner,EPLMNA,Stanley A. Milner Library (Downtown),22,The maze runner / James Dashner,Dashner James,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLMNA20150316Gray Mountain / John Grisham,EPLMNA,Stanley A. Milner Library (Downtown),20,Gray Mountain / John Grisham,Grisham John,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLMNA20150316The husband's secret / Liane Moriarty,EPLMNA,Stanley A. Milner Library (Downtown),20,The husband's secret / Liane Moriarty,Moriarty Liane,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20husband%27s%20secret
EPLMNA20150316Buried Giant  / by Kazuo  Ishiguro,EPLMNA,Stanley A. Milner Library (Downtown),19,Buried Giant  / by Kazuo  Ishiguro,Ishiguro Kazuo,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=buried%20giant%20/
EPLMNA20150316Alan Turing : the enigma / Andrew Hodges ; with a foreword by Douglas Hofstadter and a new preface by the author,EPLMNA,Stanley A. Milner Library (Downtown),19,Alan Turing : the enigma / Andrew Hodges ; with a foreword by Douglas Hofstadter and a new preface by the author,Hodges Andrew,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=alan%20turing%20%3A
