Row ID,Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLSPW20150309The girl on the train / Paula Hawkins,EPLSPW,Sprucewood Branch,7,The girl on the train / Paula Hawkins,Hawkins Paula,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLSPW20150309Yes please / Amy Poehler,EPLSPW,Sprucewood Branch,4,Yes please / Amy Poehler,Poehler Amy,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLSPW20150309The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,EPLSPW,Sprucewood Branch,4,The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,Kond o Marie,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20life-changing%20magic
EPLSPW20150309Obsession in death / J. D. Robb,EPLSPW,Sprucewood Branch,4,Obsession in death / J. D. Robb,Robb J D,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=obsession%20in%20death
EPLSPW20150309The back of the turtle : a novel / Thomas King,EPLSPW,Sprucewood Branch,4,The back of the turtle : a novel / Thomas King,King Thomas,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20back%20of
EPLSPW20150309Cold cold heart / Tami Hoag. --,EPLSPW,Sprucewood Branch,4,Cold cold heart / Tami Hoag. --,Hoag Tami,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=cold%20cold%20heart
EPLSPW20150309The nightingale / Kristin Hannah,EPLSPW,Sprucewood Branch,4,The nightingale / Kristin Hannah,Hannah Kristin,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20nightingale%20/
EPLSPW20150309All my puny sorrows / Miriam Toews. --,EPLSPW,Sprucewood Branch,4,All my puny sorrows / Miriam Toews. --,Toews Miriam,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20my%20puny
EPLSPW20150309Fairest : Levana's story / written by Marissa Meyer,EPLSPW,Sprucewood Branch,4,Fairest : Levana's story / written by Marissa Meyer,Meyer Marissa,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=fairest%20%3A%20levana%27s
EPLSPW20150309Spring / Stephanie Turnbull. --,EPLSPW,Sprucewood Branch,4,Spring / Stephanie Turnbull. --,Turnbull Stephanie,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=spring%20/%20stephanie
EPLSPW20150302Sweetland : a novel / Michael Crummey,EPLSPW,Sprucewood Branch,3,Sweetland : a novel / Michael Crummey,Crummey Michael,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=sweetland%20%3A%20a
EPLSPW20150302Archie 1000 Page Comics Extravaganza  / by   Archie Superstars,EPLSPW,Sprucewood Branch,3,Archie 1000 Page Comics Extravaganza  / by   Archie Superstars,Archie Superstars,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=archie%201000%20page
EPLSPW20150302Fairest : Levana's story / written by Marissa Meyer,EPLSPW,Sprucewood Branch,4,Fairest : Levana's story / written by Marissa Meyer,Meyer Marissa,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=fairest%20%3A%20levana%27s
EPLSPW20150302All my puny sorrows / Miriam Toews. --,EPLSPW,Sprucewood Branch,4,All my puny sorrows / Miriam Toews. --,Toews Miriam,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20my%20puny
EPLSPW20150302This changes everything : capitalism vs. the climate / Naomi Klein,EPLSPW,Sprucewood Branch,4,This changes everything : capitalism vs. the climate / Naomi Klein,Klein Naomi,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=this%20changes%20everything
EPLSPW20150302The back of the turtle : a novel / Thomas King,EPLSPW,Sprucewood Branch,4,The back of the turtle : a novel / Thomas King,King Thomas,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20back%20of
EPLSPW20150302The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,EPLSPW,Sprucewood Branch,4,The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,Kond o Marie,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20life-changing%20magic
EPLSPW20150302Yes please / Amy Poehler,EPLSPW,Sprucewood Branch,4,Yes please / Amy Poehler,Poehler Amy,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLSPW20150302Spring / Stephanie Turnbull. --,EPLSPW,Sprucewood Branch,5,Spring / Stephanie Turnbull. --,Turnbull Stephanie,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=spring%20/%20stephanie
EPLSPW20150302The girl on the train / Paula Hawkins,EPLSPW,Sprucewood Branch,8,The girl on the train / Paula Hawkins,Hawkins Paula,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLSPW20150223The back of the turtle : a novel / Thomas King,EPLSPW,Sprucewood Branch,3,The back of the turtle : a novel / Thomas King,King Thomas,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20back%20of
EPLSPW20150223The girl on the train / Paula Hawkins,EPLSPW,Sprucewood Branch,8,The girl on the train / Paula Hawkins,Hawkins Paula,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLSPW20150223Yes please / Amy Poehler,EPLSPW,Sprucewood Branch,6,Yes please / Amy Poehler,Poehler Amy,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLSPW20150223Gray Mountain / John Grisham,EPLSPW,Sprucewood Branch,4,Gray Mountain / John Grisham,Grisham John,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLSPW20150223All my puny sorrows / Miriam Toews. --,EPLSPW,Sprucewood Branch,4,All my puny sorrows / Miriam Toews. --,Toews Miriam,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20my%20puny
EPLSPW20150223Archie 1000 Page Comics Extravaganza  / by   Archie Superstars,EPLSPW,Sprucewood Branch,3,Archie 1000 Page Comics Extravaganza  / by   Archie Superstars,Archie Superstars,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=archie%201000%20page
EPLSPW20150223Sweetland : a novel / Michael Crummey,EPLSPW,Sprucewood Branch,3,Sweetland : a novel / Michael Crummey,Crummey Michael,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=sweetland%20%3A%20a
EPLSPW20150223Lila / Marilynne Robinson,EPLSPW,Sprucewood Branch,3,Lila / Marilynne Robinson,Robinson Marilynne,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=lila%20/%20marilynne
EPLSPW20150223Cold cold heart / Tami Hoag. --,EPLSPW,Sprucewood Branch,3,Cold cold heart / Tami Hoag. --,Hoag Tami,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=cold%20cold%20heart
EPLSPW20150223Stone mattress : nine tales / Margaret Atwood,EPLSPW,Sprucewood Branch,3,Stone mattress : nine tales / Margaret Atwood,Atwood Margaret,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=stone%20mattress%20%3A
EPLSPW20150216The girl on the train / Paula Hawkins,EPLSPW,Sprucewood Branch,6,The girl on the train / Paula Hawkins,Hawkins Paula,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLSPW20150216Yes please / Amy Poehler,EPLSPW,Sprucewood Branch,5,Yes please / Amy Poehler,Poehler Amy,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLSPW20150216All my puny sorrows / Miriam Toews. --,EPLSPW,Sprucewood Branch,5,All my puny sorrows / Miriam Toews. --,Toews Miriam,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20my%20puny
EPLSPW20150216The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,EPLSPW,Sprucewood Branch,4,The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,Kond o Marie,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20life-changing%20magic
EPLSPW20150216The back of the turtle : a novel / Thomas King,EPLSPW,Sprucewood Branch,4,The back of the turtle : a novel / Thomas King,King Thomas,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20back%20of
EPLSPW20150216Gray Mountain / John Grisham,EPLSPW,Sprucewood Branch,4,Gray Mountain / John Grisham,Grisham John,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLSPW20150216The husband's secret / Liane Moriarty,EPLSPW,Sprucewood Branch,4,The husband's secret / Liane Moriarty,Moriarty Liane,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20husband%27s%20secret
EPLSPW20150216The escape / David Baldacci,EPLSPW,Sprucewood Branch,4,The escape / David Baldacci,Baldacci David,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20escape%20/
EPLSPW20150216Archie 1000 Page Comics Extravaganza  / by   Archie Superstars,EPLSPW,Sprucewood Branch,3,Archie 1000 Page Comics Extravaganza  / by   Archie Superstars,Archie Superstars,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=archie%201000%20page
"EPLSPW20150216Us conductors : in which I seek the heart of Clara Rockmore, my own true love, finest theremin player the world will ever know / Sean Michaels. --",EPLSPW,Sprucewood Branch,3,"Us conductors : in which I seek the heart of Clara Rockmore, my own true love, finest theremin player the world will ever know / Sean Michaels. --",Michaels Sean,02/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=us%20conductors%20%3A
EPLSPW20150209Gray Mountain / John Grisham,EPLSPW,Sprucewood Branch,6,Gray Mountain / John Grisham,Grisham John,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLSPW20150209This changes everything : capitalism vs. the climate / Naomi Klein,EPLSPW,Sprucewood Branch,6,This changes everything : capitalism vs. the climate / Naomi Klein,Klein Naomi,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=this%20changes%20everything
EPLSPW20150209Yes please / Amy Poehler,EPLSPW,Sprucewood Branch,5,Yes please / Amy Poehler,Poehler Amy,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLSPW20150209All my puny sorrows / Miriam Toews. --,EPLSPW,Sprucewood Branch,5,All my puny sorrows / Miriam Toews. --,Toews Miriam,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20my%20puny
EPLSPW20150209The girl on the train / Paula Hawkins,EPLSPW,Sprucewood Branch,5,The girl on the train / Paula Hawkins,Hawkins Paula,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLSPW20150209The escape / David Baldacci,EPLSPW,Sprucewood Branch,4,The escape / David Baldacci,Baldacci David,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20escape%20/
EPLSPW20150209Thug kitchen : eat like you give a f*ck,EPLSPW,Sprucewood Branch,4,Thug kitchen : eat like you give a f*ck,,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=thug%20kitchen%20%3A
EPLSPW20150209The paying guests / Sarah Waters,EPLSPW,Sprucewood Branch,4,The paying guests / Sarah Waters,Waters Sarah,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20paying%20guests
EPLSPW20150209Where is my man? / by Linda Kita-Bradley,EPLSPW,Sprucewood Branch,4,Where is my man? / by Linda Kita-Bradley,Kita-Bradley Linda,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=where%20is%20my
EPLSPW20150209Archie 1000 Page Comics Extravaganza  / by   Archie Superstars,EPLSPW,Sprucewood Branch,3,Archie 1000 Page Comics Extravaganza  / by   Archie Superstars,Archie Superstars,02/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=archie%201000%20page
EPLSPW20150202The escape / David Baldacci,EPLSPW,Sprucewood Branch,4,The escape / David Baldacci,Baldacci David,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20escape%20/
EPLSPW20150202Gray Mountain / John Grisham,EPLSPW,Sprucewood Branch,6,Gray Mountain / John Grisham,Grisham John,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLSPW20150202The girl on the train / Paula Hawkins,EPLSPW,Sprucewood Branch,5,The girl on the train / Paula Hawkins,Hawkins Paula,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
"EPLSPW20150202Us conductors : in which I seek the heart of Clara Rockmore, my own true love, finest theremin player the world will ever know / Sean Michaels. --",EPLSPW,Sprucewood Branch,4,"Us conductors : in which I seek the heart of Clara Rockmore, my own true love, finest theremin player the world will ever know / Sean Michaels. --",Michaels Sean,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=us%20conductors%20%3A
EPLSPW20150202The back of the turtle : a novel / Thomas King,EPLSPW,Sprucewood Branch,4,The back of the turtle : a novel / Thomas King,King Thomas,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20back%20of
EPLSPW20150202All my puny sorrows / Miriam Toews. --,EPLSPW,Sprucewood Branch,5,All my puny sorrows / Miriam Toews. --,Toews Miriam,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20my%20puny
EPLSPW20150202This changes everything : capitalism vs. the climate / Naomi Klein,EPLSPW,Sprucewood Branch,7,This changes everything : capitalism vs. the climate / Naomi Klein,Klein Naomi,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=this%20changes%20everything
EPLSPW20150202Sisters / Raina Telgemeier ; with color by Braden Lamb,EPLSPW,Sprucewood Branch,5,Sisters / Raina Telgemeier ; with color by Braden Lamb,Telgemeier Raina,02/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=sisters%20/%20raina
