Row ID,Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLSTR20150309The girl on the train / Paula Hawkins,EPLSTR,Strathcona Branch,32,The girl on the train / Paula Hawkins,Hawkins Paula,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLSTR20150309Yes please / Amy Poehler,EPLSTR,Strathcona Branch,22,Yes please / Amy Poehler,Poehler Amy,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLSTR20150309All the light we cannot see : a novel / Anthony Doerr,EPLSTR,Strathcona Branch,20,All the light we cannot see : a novel / Anthony Doerr,Doerr Anthony,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20the%20light
EPLSTR20150309Is Gwyneth Paltrow wrong about everything? : when celebrity culture and science clash / Timothy Caulfield,EPLSTR,Strathcona Branch,18,Is Gwyneth Paltrow wrong about everything? : when celebrity culture and science clash / Timothy Caulfield,Caulfield Timothy A,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=is%20gwyneth%20paltrow
EPLSTR20150309Station eleven / Emily St. John Mandel,EPLSTR,Strathcona Branch,17,Station eleven / Emily St. John Mandel,Mandel Emily St John,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=station%20eleven%20/
"EPLSTR20150309The brain's way of healing : remarkable discoveries and recoveries from the frontiers of neuroplasticity / Norman Doidge, M.D",EPLSTR,Strathcona Branch,16,"The brain's way of healing : remarkable discoveries and recoveries from the frontiers of neuroplasticity / Norman Doidge, M.D",Doidge Norman,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20brain%27s%20way
EPLSTR20150309The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,EPLSTR,Strathcona Branch,13,The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,Kond o Marie,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20life-changing%20magic
EPLSTR20150309The back of the turtle : a novel / Thomas King,EPLSTR,Strathcona Branch,13,The back of the turtle : a novel / Thomas King,King Thomas,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20back%20of
EPLSTR20150309The organized mind : thinking straight in the age of information overload / Daniel J. Levitin,EPLSTR,Strathcona Branch,13,The organized mind : thinking straight in the age of information overload / Daniel J. Levitin,Levitin Daniel J,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20organized%20mind
EPLSTR20150309The Rosie project / Graeme Simsion. --,EPLSTR,Strathcona Branch,13,The Rosie project / Graeme Simsion. --,Simsion Graeme C,03/09/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLSTR20150302The Rosie project / Graeme Simsion. --,EPLSTR,Strathcona Branch,15,The Rosie project / Graeme Simsion. --,Simsion Graeme C,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20rosie%20project
EPLSTR20150302The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,EPLSTR,Strathcona Branch,13,The life-changing magic of tidying up : the Japanese art of decluttering and organizing / Marie Kondo ; translated from the Japanese by Cathy Hirano,Kond o Marie,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20life-changing%20magic
EPLSTR20150302All my puny sorrows / Miriam Toews. --,EPLSTR,Strathcona Branch,14,All my puny sorrows / Miriam Toews. --,Toews Miriam,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20my%20puny
EPLSTR20150302The back of the turtle : a novel / Thomas King,EPLSTR,Strathcona Branch,14,The back of the turtle : a novel / Thomas King,King Thomas,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20back%20of
EPLSTR20150302Station eleven / Emily St. John Mandel,EPLSTR,Strathcona Branch,15,Station eleven / Emily St. John Mandel,Mandel Emily St John,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=station%20eleven%20/
"EPLSTR20150302The brain's way of healing : remarkable discoveries and recoveries from the frontiers of neuroplasticity / Norman Doidge, M.D",EPLSTR,Strathcona Branch,16,"The brain's way of healing : remarkable discoveries and recoveries from the frontiers of neuroplasticity / Norman Doidge, M.D",Doidge Norman,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20brain%27s%20way
EPLSTR20150302Is Gwyneth Paltrow wrong about everything? : when celebrity culture and science clash / Timothy Caulfield,EPLSTR,Strathcona Branch,18,Is Gwyneth Paltrow wrong about everything? : when celebrity culture and science clash / Timothy Caulfield,Caulfield Timothy A,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=is%20gwyneth%20paltrow
EPLSTR20150302All the light we cannot see : a novel / Anthony Doerr,EPLSTR,Strathcona Branch,19,All the light we cannot see : a novel / Anthony Doerr,Doerr Anthony,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20the%20light
EPLSTR20150302Yes please / Amy Poehler,EPLSTR,Strathcona Branch,22,Yes please / Amy Poehler,Poehler Amy,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLSTR20150302The girl on the train / Paula Hawkins,EPLSTR,Strathcona Branch,24,The girl on the train / Paula Hawkins,Hawkins Paula,03/02/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLSTR20150223Yes please / Amy Poehler,EPLSTR,Strathcona Branch,26,Yes please / Amy Poehler,Poehler Amy,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLSTR20150223The girl on the train / Paula Hawkins,EPLSTR,Strathcona Branch,23,The girl on the train / Paula Hawkins,Hawkins Paula,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLSTR20150223All the light we cannot see : a novel / Anthony Doerr,EPLSTR,Strathcona Branch,18,All the light we cannot see : a novel / Anthony Doerr,Doerr Anthony,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20the%20light
EPLSTR20150223The back of the turtle : a novel / Thomas King,EPLSTR,Strathcona Branch,16,The back of the turtle : a novel / Thomas King,King Thomas,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20back%20of
EPLSTR20150223Station eleven / Emily St. John Mandel,EPLSTR,Strathcona Branch,15,Station eleven / Emily St. John Mandel,Mandel Emily St John,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=station%20eleven%20/
EPLSTR20150223Is Gwyneth Paltrow wrong about everything? : when celebrity culture and science clash / Timothy Caulfield,EPLSTR,Strathcona Branch,15,Is Gwyneth Paltrow wrong about everything? : when celebrity culture and science clash / Timothy Caulfield,Caulfield Timothy A,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=is%20gwyneth%20paltrow
"EPLSTR20150223Not that kind of girl : a young woman tells you what she's ""learned"" / Lena Dunham",EPLSTR,Strathcona Branch,14,"Not that kind of girl : a young woman tells you what she's ""learned"" / Lena Dunham",Dunham Lena,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=not%20that%20kind
"EPLSTR20150223The brain's way of healing : remarkable discoveries and recoveries from the frontiers of neuroplasticity / Norman Doidge, M.D",EPLSTR,Strathcona Branch,14,"The brain's way of healing : remarkable discoveries and recoveries from the frontiers of neuroplasticity / Norman Doidge, M.D",Doidge Norman,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20brain%27s%20way
EPLSTR20150223All my puny sorrows / Miriam Toews. --,EPLSTR,Strathcona Branch,14,All my puny sorrows / Miriam Toews. --,Toews Miriam,02/23/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=all%20my%20puny
