Row ID,Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLWHP20150914Grey / E L James,EPLWHP,,8,Grey / E L James,James E L,09/14/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=grey%20/%20e
EPLWHP20160627Me before you / Jojo Moyes,EPLWHP,,15,Me before you / Jojo Moyes,MOYES JOJO,06/27/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=me%20before%20you
EPLWHP20160627The crown / Keira Cass,EPLWHP,,4,The crown / Keira Cass,CASS KIERA,06/27/2016 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20crown%20/
EPLWHP20150615Big Nate's greatest hits / by Lincoln Peirce,EPLWHP,,1,Big Nate's greatest hits / by Lincoln Peirce,Peirce Lincoln,06/15/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=big%20nate%27s%20greatest
EPLWHP20150615Genius mode / Lincoln Peirce. --,EPLWHP,,1,Genius mode / Lincoln Peirce. --,Peirce Lincoln,06/15/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=genius%20mode%20/
EPLWHP20150615Big Nate makes the grade / by Lincoln Peirce,EPLWHP,,1,Big Nate makes the grade / by Lincoln Peirce,Peirce Lincoln,06/15/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=big%20nate%20makes
EPLWHP20150615Big Nate flips out / Lincoln Peirce,EPLWHP,,1,Big Nate flips out / Lincoln Peirce,Peirce Lincoln,06/15/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=big%20nate%20flips
EPLWHP20150615Big Nate. Say good-bye to dork city / by Lincoln Peirce,EPLWHP,,1,Big Nate. Say good-bye to dork city / by Lincoln Peirce,Peirce Lincoln,06/15/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=big%20nate.%20say
EPLWHP20150615Big Nate : here goes nothing / Lincoln Peirce. --,EPLWHP,,1,Big Nate : here goes nothing / Lincoln Peirce. --,Peirce Lincoln,06/15/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=big%20nate%20%3A
EPLWHP20150615Clean eating freezer meals / Tiffany McCauley,EPLWHP,,1,Clean eating freezer meals / Tiffany McCauley,McCauley Tiffany,06/15/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=clean%20eating%20freezer
EPLWHP20150615Lie Tree  / by Frances  Hardinge,EPLWHP,,1,Lie Tree  / by Frances  Hardinge,Hardinge Frances,06/15/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=lie%20tree%20/
EPLWHP20150615Stargirl / Jerry Spinelli,EPLWHP,,1,Stargirl / Jerry Spinelli,Spinelli Jerry,06/15/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=stargirl%20/%20jerry
EPLWHP20150615Zero waste home : the ultimate guide to simplifying your life by reducing your waste / Bea Johnson,EPLWHP,,1,Zero waste home : the ultimate guide to simplifying your life by reducing your waste / Bea Johnson,Johnson Bea,06/15/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=zero%20waste%20home
EPLWHP20150622Memory man / David Baldacci,EPLWHP,,2,Memory man / David Baldacci,Baldacci David,06/22/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=memory%20man%20/
"EPLWHP20150622Duchess Bake Shop / by Giselle Courteau ; [photography, Amanda Gallant]",EPLWHP,,2,"Duchess Bake Shop / by Giselle Courteau ; [photography, Amanda Gallant]",Courteau Giselle,06/22/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=duchess%20bake%20shop
EPLWHP20150622Country : a novel / Danielle Steel,EPLWHP,,2,Country : a novel / Danielle Steel,Steel Danielle,06/22/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=country%20%3A%20a
EPLWHP20150622Nineteen eighty-four / George Orwell,EPLWHP,,2,Nineteen eighty-four / George Orwell,Orwell George-001950,06/22/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=nineteen%20eighty-four%20/
EPLWHP20150622Tax-free savings accounts : how TFSAs can make you rich / Gordon Pape,EPLWHP,,2,Tax-free savings accounts : how TFSAs can make you rich / Gordon Pape,Pape Gordon,06/22/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=tax-free%20savings%20accounts
EPLWHP20150622Finders keepers : a novel / Stephen King,EPLWHP,,2,Finders keepers : a novel / Stephen King,King Stephen,06/22/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=finders%20keepers%20%3A
EPLWHP20150622The girl on the train / Paula Hawkins,EPLWHP,,2,The girl on the train / Paula Hawkins,Hawkins Paula,06/22/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLWHP20150622The heir / Keira Cass,EPLWHP,,2,The heir / Keira Cass,Cass Kiera,06/22/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20heir%20/
