Branch ID,Branch Name,Number of Holds,Title,Author,As of Date,Web URL
EPLLON,Londonderry Branch,36,The girl on the train / Paula Hawkins,Hawkins Paula,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLLON,Londonderry Branch,18,The maze runner / James Dashner,Dashner James,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20maze%20runner
EPLLON,Londonderry Branch,17,Crash & burn : a novel / Lisa Gardner,Gardner Lisa,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=crash%20%26%20burn
EPLLON,Londonderry Branch,14,Gray Mountain / John Grisham,Grisham John,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=gray%20mountain%20/
EPLLON,Londonderry Branch,14,Cambridge IELTS ... : examination papers from the University of Cambridge Local Examinations Syndicate,University of Cambridge Local Examinations Syndicate,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=cambridge%20ielts%20...
EPLLON,Londonderry Branch,12,Yes please / Amy Poehler,Poehler Amy,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
EPLLON,Londonderry Branch,11,Obsession in death / J. D. Robb,Robb J D,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=obsession%20in%20death
EPLLON,Londonderry Branch,10,Cold cold heart / Tami Hoag. --,Hoag Tami,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=cold%20cold%20heart
EPLLON,Londonderry Branch,10,Paper towns / by John Green,Green John,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=paper%20towns%20/
EPLLON,Londonderry Branch,10,Where she went / by Gayle Forman,Forman Gayle,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=where%20she%20went
EPLMNA,Stanley A. Milner Library (Downtown),73,The girl on the train / Paula Hawkins,Hawkins Paula,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=the%20girl%20on
EPLMNA,Stanley A. Milner Library (Downtown),35,Yes please / Amy Poehler,Poehler Amy,03/16/2015 12:00:00 AM,http://epl.bibliocommons.com/search?t=smart&q=yes%20please%20/
